Punto geográfico	P1. En general, en su Barrio usted se siente:	P2. Con relación a hace un año, cómo se siente usted actualmente en este Barrio	P3. En general, en su Comuna o Corregimiento usted se siente:	P4. Con relación a hace un año, cómo se siente usted actualmente en esta Comuna o Corregimiento	P5. En general, en Medellín, usted se siente:	P6. Con relación a hace un año, cómo se siente usted actualmente en Medellín
POINT (-75.6041 6.20683)	2	0	3	0	4	0
POINT (-75.6033 6.2141)	2	0	2	0	3	0
POINT (-75.6081 6.22581)	2	1	2	1	2	0
POINT (-75.6064 6.22748)	1	0	2	0	2	0
POINT (-75.6052 6.23461)	2	0	3	4	3	4
POINT (-75.6033 6.2141)	2	0	3	0	3	0
POINT (-75.6019 6.22144)	2	0	2	0	3	0
POINT (-75.6041 6.20683)	2	1	4	1	3	4
POINT (-75.6041 6.20683)	2	0	2	0	1	0
POINT (-75.5951 6.22919)	1	0	2	0	2	0
POINT (-75.6081 6.22581)	1	1	1	1	2	1
POINT (-75.5977 6.23175)	2	0	3	4	3	0
POINT (-75.6135 6.2051062)	2	0	2	0	2	0
POINT (-75.6052 6.23461)	2	1	2	4	2	0
POINT (-75.6045 6.2255)	2	1	2	1	1	1
POINT (-75.6045 6.2255)	2	4	3	4	3	4
POINT (-75.6089 6.22365)	4	0	4	0	4	0
POINT (-75.6065 6.22696)	4	1	1	1	1	1
POINT (-75.6089 6.22365)	2	0	2	4	3	4
POINT (-75.6045 6.2255)	1	0	2	0	4	0
POINT (-75.6045 6.2255)	1	1	1	1	2	1
POINT (-75.6089 6.22365)	2	0	3	4	2	0
POINT (-75.6081 6.22581)	2	0	2	0	2	0
POINT (-75.6045 6.2255)	3	1	2	1	2	1
POINT (-75.6019 6.22144)	2	4	2	0	2	0
POINT (-75.6065 6.22696)	2	0	2	0	2	0
POINT (-75.6065 6.22696)	2	0	2	0	2	0
POINT (-75.6081 6.22581)	2	0	2	0	3	0
POINT (-75.6045 6.2255)	2	1	3	1	3	1
POINT (-75.6135 6.2051062)	2	0	2	0	2	0
POINT (-75.6135 6.2051062)	2	1	2	0	2	0
POINT (-75.6135 6.2051062)	2	1	1	0	1	0
POINT (-75.6052 6.23461)	2	0	2	0	2	0
POINT (-75.6041 6.20683)	3	4	3	0	3	0
POINT (-75.6029 6.20703)	2	1	1	1	2	1
POINT (-75.6029 6.20703)	2	1	1	1	2	1
POINT (-75.6029 6.20703)	2	1	1	1	2	1
POINT (-75.6029 6.20703)	3	1	2	0	2	0
POINT (-75.6055 6.20731)	2	1	2	1	3	4
POINT (-75.6055 6.20731)	2	0	2	0	2	0
POINT (-75.6055 6.20731)	2	4	3	4	3	0
POINT (-75.5977 6.23175)	1	0	2	0	1	0
POINT (-75.5977 6.23175)	3	0	3	0	3	0
POINT (-75.6033 6.2141)	1	0	2	0	2	0
POINT (-75.6081 6.22581)	2	1	2	0	2	0
POINT (-75.6089 6.22365)	4	0	2	1	2	1
POINT (-75.5951 6.22919)	2	0	2	0	2	0
POINT (-75.6033 6.2141)	2	0	2	0	2	0
POINT (-75.6033 6.2141)	2	4	3	4	3	4
POINT (-75.6062 6.22587)	2	0	3	0	4	0
POINT (-75.6065 6.22696)	2	0	3	0	2	0
POINT (-75.6079 6.22509)	2	0	2	0	2	0
POINT (-75.6065 6.22696)	2	0	2	0	2	0
POINT (-75.6062 6.22587)	3	0	3	0	3	4
POINT (-75.6062 6.22587)	2	0	2	0	2	0
POINT (-75.6081 6.22581)	4	0	1	0	2	0
POINT (-75.6062 6.22587)	2	0	2	0	0	0
POINT (-75.6079 6.22509)	2	0	2	0	3	0
POINT (-75.6064 6.22748)	2	4	2	0	2	0
POINT (-75.6033 6.2141)	1	0	2	0	2	0
POINT (-75.6079 6.22509)	2	0	2	0	2	0
POINT (-75.6079 6.22509)	2	0	2	0	3	0
POINT (-75.6064 6.22748)	2	1	1	0	1	0
POINT (-75.6062 6.22587)	2	0	2	0	2	0
POINT (-75.5951 6.22919)	3	0	4	0	4	4
POINT (-75.6079 6.22509)	2	1	1	1	2	1
POINT (-75.6135 6.2051062)	2	0	2	0	2	0
POINT (-75.6079 6.22509)	2	0	2	1	4	4
POINT (-75.6052 6.23461)	2	0	2	0	3	0
POINT (-75.6093 6.22492)	2	1	2	1	2	0
POINT (-75.6089 6.22365)	4	4	4	4	1	0
POINT (-75.5977 6.23175)	2	0	2	0	2	0
POINT (-75.6013 6.23162)	3	1	2	0	3	1
POINT (-75.6013 6.23162)	1	0	1	0	2	0
POINT (-75.6029 6.20703)	2	1	0	1	3	4
POINT (-75.6029 6.20703)	4	1	2	1	3	0
POINT (-75.6086 6.22541)	2	0	2	0	2	0
POINT (-75.6055 6.20731)	2	0	2	0	2	0
POINT (-75.6055 6.20731)	2	0	2	0	0	0
POINT (-75.6055 6.20731)	2	4	2	0	2	0
POINT (-75.6086 6.22541)	2	0	2	0	3	0
POINT (-75.6064 6.22748)	2	0	2	0	2	0
POINT (-75.6093 6.22492)	3	0	3	4	3	0
POINT (-75.6086 6.22541)	3	0	3	0	3	0
POINT (-75.6135 6.2051062)	2	0	2	0	3	0
POINT (-75.5951 6.22919)	3	0	3	0	4	0
POINT (-75.6086 6.22541)	2	0	2	0	2	0
POINT (-75.6088 6.21805)	1	1	2	1	2	1
POINT (-75.6064 6.22748)	2	0	2	0	2	0
POINT (-75.6086 6.22541)	3	0	3	0	3	0
POINT (-75.6086 6.22541)	2	0	1	0	3	0
POINT (-75.6068 6.22649)	2	0	2	0	2	0
POINT (-75.6064 6.22748)	2	0	2	0	2	0
POINT (-75.6155 6.2052618)	2	1	2	0	2	0
POINT (-75.6093 6.22492)	2	1	2	1	2	1
POINT (-75.6155 6.2052618)	2	0	2	0	2	0
POINT (-75.6088 6.21805)	3	1	2	0	4	4
POINT (-75.6019 6.21003)	2	1	2	1	2	1
POINT (-75.6076 6.22398)	2	0	2	0	3	0
POINT (-75.6019 6.21003)	2	0	1	0	3	0
POINT (-75.6076 6.22398)	2	4	3	4	3	4
POINT (-75.6093 6.22492)	2	1	2	1	2	0
POINT (-75.6093 6.22492)	1	0	4	0	4	0
POINT (-75.6093 6.22492)	4	4	4	0	3	0
POINT (-75.597 6.2024)	2	0	2	0	2	1
POINT (-75.6013 6.23162)	3	0	3	0	4	0
POINT (-75.6013 6.23162)	2	0	2	0	2	0
POINT (-75.6013 6.23162)	2	4	3	4	2	1
POINT (-75.6076 6.22398)	2	0	2	0	2	0
POINT (-75.6076 6.22398)	2	0	2	0	2	1
POINT (-75.6068 6.22649)	2	1	2	1	2	0
POINT (-75.6068 6.22649)	2	1	2	1	2	0
POINT (-75.6076 6.22398)	2	0	2	0	3	0
POINT (-75.597 6.2024)	2	1	1	1	2	1
POINT (-75.597 6.2024)	1	1	2	1	3	0
POINT (-75.6155 6.2052618)	2	0	2	0	2	0
POINT (-75.5951 6.22919)	1	0	1	0	1	0
POINT (-75.6084 6.22405)	2	0	2	1	3	1
POINT (-75.6155 6.2052618)	1	0	1	1	1	1
POINT (-75.5953 6.20099)	2	1	2	1	2	0
POINT (-75.5953 6.20099)	2	0	2	0	3	0
POINT (-75.6084 6.22405)	2	0	2	0	3	0
POINT (-75.6019 6.21003)	2	0	2	4	4	4
POINT (-75.6155 6.2052618)	1	0	2	0	3	4
POINT (-75.5951 6.22919)	2	1	2	1	1	1
POINT (-75.6076 6.22398)	2	0	2	4	3	0
POINT (-75.6088 6.21805)	2	4	1	0	3	4
POINT (-75.6088 6.21805)	1	0	2	1	1	4
POINT (-75.6068 6.22649)	2	0	3	4	3	0
POINT (-75.6088 6.21805)	2	0	3	0	2	0
POINT (-75.6155 6.2052618)	2	0	2	0	3	4
POINT (-75.6001 6.22766)	3	0	4	0	3	0
POINT (-75.6084 6.22405)	1	1	1	1	1	0
POINT (-75.5869 6.22182)	2	0	2	0	4	4
POINT (-75.5977 6.23175)	3	0	1	4	3	0
POINT (-75.5977 6.23175)	2	0	2	0	2	4
POINT (-75.5869 6.22182)	2	0	2	0	2	0
POINT (-75.5881 6.22218)	1	0	2	0	2	0
POINT (-75.6001 6.22766)	2	4	2	4	3	4
POINT (-75.6001 6.22766)	2	1	2	1	2	1
POINT (-75.6019 6.21003)	2	0	2	0	3	0
POINT (-75.6001 6.22766)	2	1	2	4	2	0
POINT (-75.6069 6.22746)	2	0	2	0	2	0
POINT (-75.597 6.2024)	2	0	2	0	2	1
POINT (-75.597 6.2024)	2	0	2	0	2	0
POINT (-75.6069 6.22468)	2	0	2	1	2	0
POINT (-75.6068 6.22649)	2	0	2	0	2	0
POINT (-75.5835 6.20269)	2	0	2	0	3	0
POINT (-75.5866 6.22736)	2	4	2	4	3	4
POINT (-75.5815 6.22028)	2	0	2	0	3	0
POINT (-75.588 6.22142)	3	4	3	4	1	4
POINT (-75.6068 6.22649)	1	0	2	0	2	0
POINT (-75.5836 6.20321)	2	0	3	0	2	0
POINT (-75.5826 6.223)	2	0	2	0	3	0
POINT (-75.6134 6.2071323)	2	0	2	0	3	4
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.5868 6.20219)	2	0	2	0	2	0
POINT (-75.5868 6.20219)	2	1	2	1	2	0
POINT (-75.5835 6.20269)	2	0	2	0	2	0
POINT (-75.588 6.22142)	2	0	3	4	3	0
POINT (-75.5845 6.20359)	3	4	3	4	3	4
POINT (-75.6134 6.2071323)	2	0	2	0	2	0
POINT (-75.5835 6.20269)	2	1	2	1	2	0
POINT (-75.5815 6.22028)	1	0	1	0	1	0
POINT (-75.5868 6.20219)	2	0	2	0	2	0
POINT (-75.5932 6.20052)	2	0	2	0	2	0
POINT (-75.5845 6.20359)	2	0	2	0	1	0
POINT (-75.5946 6.2011)	2	0	2	0	2	0
POINT (-75.5836 6.20321)	2	0	2	0	3	0
POINT (-75.5836 6.20321)	2	0	2	4	3	4
POINT (-75.592 6.19969)	2	0	2	0	3	0
POINT (-75.5866 6.22218)	2	0	3	0	2	0
POINT (-75.5866 6.22218)	2	0	1	1	2	1
POINT (-75.6134 6.2071323)	2	1	2	0	3	0
POINT (-75.6134 6.2071323)	1	0	2	0	2	0
POINT (-75.5881 6.22218)	2	0	2	0	3	1
POINT (-75.5857 6.22265)	2	0	2	0	4	0
